in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.0E+00,1.000E+02,-2.818E+01,8.719E+01,2.500E-01
2.0E+00,1.259E+02,-2.620E+01,8.670E+01,2.500E-01
3.0E+00,1.585E+02,-2.412E+01,8.591E+01,2.500E-01
4.0E+00,1.995E+02,-2.221E+01,8.494E+01,2.500E-01
5.0E+00,2.512E+02,-2.025E+01,8.378E+01,2.500E-01
6.0E+00,3.162E+02,-1.820E+01,8.241E+01,2.500E-01
7.0E+00,3.981E+02,-1.627E+01,8.057E+01,2.500E-01
8.0E+00,5.012E+02,-1.442E+01,7.830E+01,2.500E-01
9.0E+00,6.310E+02,-1.252E+01,7.561E+01,2.500E-01
1.0E+01,7.943E+02,-1.063E+01,7.231E+01,2.500E-01
1.1E+01,1.000E+03,-8.866E+00,6.828E+01,2.500E-01
1.2E+01,1.259E+03,-7.207E+00,6.355E+01,2.500E-01
1.3E+01,1.585E+03,-5.698E+00,5.811E+01,2.500E-01
1.4E+01,1.995E+03,-4.390E+00,5.206E+01,2.500E-01
1.5E+01,2.512E+03,-3.254E+00,4.570E+01,2.500E-01
1.6E+01,3.162E+03,-2.340E+00,3.926E+01,2.500E-01
1.7E+01,3.981E+03,-1.649E+00,3.308E+01,2.500E-01
1.8E+01,5.012E+03,-1.130E+00,2.745E+01,2.500E-01
1.9E+01,6.310E+03,-7.679E-01,2.249E+01,2.500E-01
2.0E+01,7.943E+03,-5.193E-01,1.822E+01,2.500E-01
2.1E+01,1.000E+04,-3.159E-01,1.477E+01,2.500E-01
2.2E+01,1.259E+04,-2.065E-01,1.190E+01,2.500E-01
2.3E+01,1.585E+04,-1.352E-01,9.552E+00,2.500E-01
2.4E+01,1.995E+04,-8.387E-02,7.687E+00,2.500E-01
2.5E+01,2.512E+04,-4.960E-02,6.174E+00,2.500E-01
2.6E+01,3.162E+04,-2.466E-02,4.964E+00,2.500E-01
2.7E+01,3.981E+04,-7.072E-03,3.998E+00,2.500E-01
2.8E+01,5.012E+04,5.743E-03,3.207E+00,2.500E-01
2.9E+01,6.310E+04,1.935E-02,2.600E+00,2.500E-01
3.0E+01,7.943E+04,2.552E-02,2.072E+00,2.500E-01
3.1E+01,1.000E+05,4.840E-02,1.658E+00,2.500E-01
3.2E+01,1.259E+05,5.072E-02,1.337E+00,2.500E-01
3.3E+01,1.585E+05,5.364E-02,1.072E+00,2.500E-01
3.4E+01,1.995E+05,5.564E-02,8.629E-01,2.500E-01
3.5E+01,2.512E+05,3.912E-02,6.957E-01,2.500E-01
3.6E+01,3.162E+05,4.223E-02,5.590E-01,2.500E-01
3.7E+01,3.981E+05,4.221E-02,4.540E-01,2.500E-01
3.8E+01,5.012E+05,4.329E-02,3.816E-01,2.500E-01
3.9E+01,6.310E+05,5.557E-02,3.336E-01,2.500E-01
4.0E+01,7.943E+05,5.860E-02,2.996E-01,2.500E-01
4.1E+01,1.000E+06,7.181E-02,2.845E-01,2.500E-01
